Responsible_actor;SUMleges;Case ID;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Flora en Fauna;Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Integraal;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;Resource;Complete Timestamp;duration;month;weekday;hour;remtime;elapsed
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_180\\complete;560600;EMPTY;560429;2011-03-24 01:20:58;0.0166666666667;3;3;1;0.0;14750458.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_150\\complete;560600;EMPTY;560429;2011-03-24 01:20:57;0.0;3;3;1;1.0;14750457.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_110\\complete;560600;False;560429;2011-03-24 01:20:57;159380.95;3;3;1;1.0;14750457.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_090_2\\complete;560600;EMPTY;560600;2010-12-03 09:00:00;528.2833333330001;12;4;9;9562858.0;5187600.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_090_1\\complete;560600;EMPTY;560600;2010-12-03 00:11:43;100.866666667;12;4;0;9594555.0;5155903.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_080\\complete;560600;42;560600;2010-12-02 22:30:51;1.1833333333299998;12;3;22;9600607.0;5149851.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_070_2\\complete;560600;EMPTY;560600;2010-12-02 22:29:40;0.433333333333;12;3;22;9600678.0;5149780.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_060\\complete;560600;True;560600;2010-12-02 22:29:14;0.0;12;3;22;9600704.0;5149754.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_070_1\\complete;560600;EMPTY;560600;2010-12-02 22:29:14;0.1;12;3;22;9600704.0;5149754.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_030\\complete;560600;False;560600;2010-12-02 22:29:08;0.4;12;3;22;9600710.0;5149748.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_020_1\\complete;560600;EMPTY;560600;2010-12-02 22:28:44;0.2;12;3;22;9600734.0;5149724.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;08_AWB45_010\\complete;560600;42;560600;2010-12-02 22:28:32;0.06666666666669999;12;3;22;9600746.0;5149712.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_200\\complete;560600;False;560600;2010-12-02 22:28:28;0.666666666667;12;3;22;9600750.0;5149708.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_190_1\\complete;560600;EMPTY;560600;2010-12-02 22:27:48;0.366666666667;12;3;22;9600790.0;5149668.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_180\\complete;560600;True;560600;2010-12-02 22:27:26;0.2;12;3;22;9600812.0;5149646.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_120\\complete;560600;EMPTY;560600;2010-12-02 22:27:14;1.68333333333;12;3;22;9600824.0;5149634.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;06_VD_010\\complete;560600;False;560600;2010-12-02 22:25:33;8.316666666669999;12;3;22;9600925.0;5149533.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;05_EIND_010\\complete;560600;False;560600;2010-12-02 22:17:14;0.3;12;3;22;9601424.0;5149034.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_050\\complete;560600;True;560600;2010-12-02 22:16:56;0.1;12;3;22;9601442.0;5149016.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_130\\complete;560600;False;560600;2010-12-02 22:16:50;2.4;12;3;22;9601448.0;5149010.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_110\\complete;560600;EMPTY;560600;2010-12-02 22:14:26;0.08333333333330001;12;3;22;9601592.0;5148866.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_100\\complete;560600;EMPTY;560600;2010-12-02 22:14:21;0.266666666667;12;3;22;9601597.0;5148861.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_065_1\\complete;560600;EMPTY;560600;2010-12-02 22:14:05;0.0333333333333;12;3;22;9601613.0;5148845.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_060\\complete;560600;True;560600;2010-12-02 22:14:03;0.283333333333;12;3;22;9601615.0;5148843.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_040\\complete;560600;False;560600;2010-12-02 22:13:46;1.65;12;3;22;9601632.0;5148826.0
560600;0.0;3364103;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;01_HOOFD_030_1\\complete;560600;EMPTY;560600;2010-12-02 22:12:07;0.05;12;3;22;9601731.0;5148727.0
