Responsible_actor;SUMleges;Case ID;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;Resource;Complete Timestamp;duration;month;weekday;hour;remtime;elapsed
4901428.0;0.0;2760925;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_015\\complete;560894;EMPTY;560872;2010-10-07 22:57:14;3777.23333333;10;3;22;0.0;226634.0
4901428.0;0.0;2760925;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;01_HOOFD_010\\complete;560894;other;560872;2010-10-05 08:00:00;0.0;10;1;8;226634.0;0.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_530\\complete;560925;EMPTY;560890;2010-12-15 09:00:00;12356.016666700001;12;2;9;0.0;6051600.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_520\\complete;560925;EMPTY;560890;2010-12-06 19:03:59;3.55;12;0;19;741361.0;5310239.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_510_1\\complete;560925;EMPTY;560890;2010-12-06 19:00:26;51.3833333333;12;0;19;741574.0;5310026.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_500\\complete;560925;42;560890;2010-12-06 18:09:03;2.7;12;0;18;744657.0;5306943.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_490_2\\complete;560925;EMPTY;560890;2010-12-06 18:06:21;546.35;12;0;18;744819.0;5306781.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_510_2\\complete;560925;EMPTY;560890;2010-12-06 09:00:00;0.0;12;0;9;777600.0;5274000.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_490_3\\complete;560925;EMPTY;560890;2010-12-06 09:00:00;6545.21666667;12;0;9;777600.0;5274000.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_490_1\\complete;560464;EMPTY;2670601;2010-12-01 19:54:47;0.0;12;2;19;1170313.0;4881287.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_480\\complete;560925;False;2670601;2010-12-01 19:54:47;0.0333333333333;12;2;19;1170313.0;4881287.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_470\\complete;560925;False;2670601;2010-12-01 19:54:45;0.1;12;2;19;1170315.0;4881285.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_430\\complete;560925;False;2670601;2010-12-01 19:54:39;0.283333333333;12;2;19;1170321.0;4881279.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_380\\complete;560925;False;2670601;2010-12-01 19:54:22;0.05;12;2;19;1170338.0;4881262.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_375\\complete;560464;EMPTY;2670601;2010-12-01 19:54:19;0.0;12;2;19;1170341.0;4881259.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_370\\complete;560925;EMPTY;2670601;2010-12-01 19:54:19;0.0333333333333;12;2;19;1170341.0;4881259.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;09_AH_I_010\\complete;560925;False;2670601;2010-12-01 19:54:17;0.08333333333330001;12;2;19;1170343.0;4881257.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_260\\complete;560925;EMPTY;2670601;2010-12-01 19:54:12;0.06666666666669999;12;2;19;1170348.0;4881252.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_250\\complete;560925;EMPTY;2670601;2010-12-01 19:54:08;0.05;12;2;19;1170352.0;4881248.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_270\\complete;560925;False;2670601;2010-12-01 19:54:05;0.08333333333330001;12;2;19;1170355.0;4881245.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_205\\complete;560464;EMPTY;2670601;2010-12-01 19:54:00;0.0;12;2;19;1170360.0;4881240.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_200\\complete;560925;True;2670601;2010-12-01 19:54:00;0.65;12;2;19;1170360.0;4881240.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_1\\complete;560925;EMPTY;2670601;2010-12-01 19:53:21;0.0333333333333;12;2;19;1170399.0;4881201.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_180\\complete;560925;True;2670601;2010-12-01 19:53:19;0.08333333333330001;12;2;19;1170401.0;4881199.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_120\\complete;560925;EMPTY;2670601;2010-12-01 19:53:14;0.05;12;2;19;1170406.0;4881194.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_110\\complete;560925;EMPTY;2670601;2010-12-01 19:53:11;0.133333333333;12;2;19;1170409.0;4881191.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_130\\complete;560925;False;2670601;2010-12-01 19:53:03;0.06666666666669999;12;2;19;1170417.0;4881183.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_170\\complete;560925;False;2670601;2010-12-01 19:52:59;1077.38333333;12;2;19;1170421.0;4881179.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_030\\complete;560925;True;6;2010-12-01 01:55:36;1.43333333333;12;2;1;1235064.0;4816536.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_020_1\\complete;560925;EMPTY;6;2010-12-01 01:54:10;0.166666666667;12;2;1;1235150.0;4816450.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;08_AWB45_010\\complete;560925;42;6;2010-12-01 01:54:00;0.6;12;2;1;1235160.0;4816440.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_200\\complete;560925;False;6;2010-12-01 01:53:24;0.33333333333299997;12;2;1;1235196.0;4816404.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_1\\complete;560925;EMPTY;6;2010-12-01 01:53:04;0.0333333333333;12;2;1;1235216.0;4816384.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_180\\complete;560925;True;6;2010-12-01 01:53:02;0.5666666666669999;12;2;1;1235218.0;4816382.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_120\\complete;560925;EMPTY;6;2010-12-01 01:52:28;0.08333333333330001;12;2;1;1235252.0;4816348.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_110\\complete;560925;EMPTY;6;2010-12-01 01:52:23;0.5666666666669999;12;2;1;1235257.0;4816343.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;05_EIND_010\\complete;560925;False;6;2010-12-01 01:51:49;0.21666666666700002;12;2;1;1235291.0;4816309.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_050\\complete;560925;True;6;2010-12-01 01:51:36;0.233333333333;12;2;1;1235304.0;4816296.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_130\\complete;560925;False;6;2010-12-01 01:51:22;0.433333333333;12;2;1;1235318.0;4816282.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100\\complete;560925;EMPTY;6;2010-12-01 01:50:56;0.1;12;2;1;1235344.0;4816256.0
4901428.0;1354.2542;2771451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;06_VD_010\\complete;560925;False;6;2010-12-01 01:50:50;0.33333333333299997;12;2;1;1235350.0;4816250.0
