Responsible_actor;SUMleges;Case ID;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;Resource;Complete Timestamp;duration;month;weekday;hour;remtime;elapsed
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_790\\complete;560458;EMPTY;560530;2011-05-26 17:43:53;0.0;5;3;17;0.0;19907033.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_BB_770\\complete;560458;EMPTY;560530;2011-05-26 17:43:53;0.15;5;3;17;0.0;19907033.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_BB_540\\complete;560458;False;560530;2011-05-26 17:43:44;281323.733333;5;3;17;9.0;19907024.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_530\\complete;560458;EMPTY;560530;2010-11-12 09:00:00;10897.65;11;4;9;16879433.0;3027600.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_520\\complete;560458;EMPTY;560530;2010-11-04 19:22:21;0.15;11;3;19;17533292.0;2373741.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_1\\complete;560458;EMPTY;560530;2010-11-04 19:22:12;0.05;11;3;19;17533301.0;2373732.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_500\\complete;560458;42;560530;2010-11-04 19:22:09;622.15;11;3;19;17533304.0;2373729.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_2\\complete;560458;EMPTY;560530;2010-11-04 09:00:00;0.0;11;3;9;17570633.0;2336400.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_3\\complete;560458;EMPTY;560530;2010-11-04 09:00:00;1973.16666667;11;3;9;17570633.0;2336400.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_2\\complete;560458;EMPTY;560530;2010-11-03 00:06:50;0.1;11;2;0;17689023.0;2218010.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_1\\complete;560458;EMPTY;560530;2010-11-03 00:06:44;0.0;11;2;0;17689029.0;2218004.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_480\\complete;560458;False;560530;2010-11-03 00:06:44;0.06666666666669999;11;2;0;17689029.0;2218004.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_470\\complete;560458;False;560530;2010-11-03 00:06:40;0.116666666667;11;2;0;17689033.0;2218000.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_430\\complete;560458;False;560530;2010-11-03 00:06:33;0.266666666667;11;2;0;17689040.0;2217993.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_380\\complete;560458;False;560530;2010-11-03 00:06:17;0.35;11;2;0;17689056.0;2217977.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_375\\complete;560458;EMPTY;560530;2010-11-03 00:05:56;0.0;11;2;0;17689077.0;2217956.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_370\\complete;560458;EMPTY;560530;2010-11-03 00:05:56;0.0333333333333;11;2;0;17689077.0;2217956.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;09_AH_I_010\\complete;560458;False;560530;2010-11-03 00:05:54;168.1;11;2;0;17689079.0;2217954.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_260\\complete;560458;EMPTY;560530;2010-11-02 21:17:48;0.45;11;1;21;17699165.0;2207868.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_250\\complete;560458;EMPTY;560530;2010-11-02 21:17:21;1502.86666667;11;1;21;17699192.0;2207841.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_270\\complete;560458;False;560519;2010-11-01 20:14:29;0.133333333333;11;0;20;17789364.0;2117669.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_205\\complete;560458;EMPTY;560519;2010-11-01 20:14:21;0.0;11;0;20;17789372.0;2117661.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_200\\complete;560458;True;560519;2010-11-01 20:14:21;5804.01666667;11;0;20;17789372.0;2117661.0
560458;84.3;3461877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_1\\complete;560458;EMPTY;560458;2010-10-28 19:30:20;0.08333333333330001;10;3;19;18137613.0;1769420.0
